file,institution,hostel_or_mess,state,region,institution_type,source_url,retrieved_on,format,menu_period_if_stated,veg_only,notes
iit-tirupati__central-mess-apr2024.pdf,IIT Tirupati,Institute hostel mess (common menu),Andhra Pradesh,south,IIT,https://iittp.ac.in/hostel/pdfs/IITT_MESS_MENU_April_2024.pdf,2026-09-21,pdf (text),New Mess Menu Apr 2024,no,Weekly B/L/snacks/D with timings; egg/chicken items present.
iit-kanpur__hall-2.pdf,IIT Kanpur,Hall II mess,Uttar Pradesh,north,IIT,https://www.iitk.ac.in/hall2/mess-menu.pdf,2026-09-21,pdf (text),not stated,no,"Weekly B/L/D plus extras columns (egg, paneer, chicken)."
iit-kanpur__hall-8.pdf,IIT Kanpur,Hall VIII mess,Uttar Pradesh,north,IIT,https://www.iitk.ac.in/hall8/resources/mess_menu.pdf,2026-09-21,pdf (text),Dated 20/01/2025,no,Weekly B/L/D with daily compulsory items; egg options.
iit-kanpur__hall-11.pdf,IIT Kanpur,Hall XI mess,Uttar Pradesh,north,IIT,https://www.iitk.ac.in/hall11/Documents/menu.pdf,2026-09-21,pdf (text),01-10-2024,no,Weekly B/L/D with daily items; egg/non-veg items present.
iiit-lucknow__mess.pdf,IIIT Lucknow,Institute mess,Uttar Pradesh,north,IIIT,https://iiitl.ac.in/wp-content/uploads/2019/11/MessMenu.pdf,2026-09-21,pdf (text),not stated (uploaded 2019-11; PDF created 2019-11-10),no,Weekly B/L/snacks/D; note says egg provided weekly.
nit-trichy__boys-mess.pdf,NIT Tiruchirappalli,Boys mess (Rs 61/day),Tamil Nadu,south,NIT,https://www.nitt.edu/home/students/facilitiesnservices/hostelsnmess/messes/Mess_Menu.pdf,2026-09-21,pdf (text),not stated (PDF created 2012-07-06),no,3 pages; weekly B/L/snacks/D; states per-day rate; likely old.
nit-trichy__all-messes.pdf,NIT Tiruchirappalli,All NITT messes - South Indian and North Indian tentative menus,Tamil Nadu,south,NIT,https://www.nitt.edu/home/MENU-NITT-MESSES.pdf,2026-09-21,pdf (text),not stated; marked TENTATIVE (PDF created 2015-07-12),yes,3 pages; South Indian and North Indian weekly menus; no non-veg items in this document (non-veg messes may exist separately).
mnit-jaipur__girls-hostel-menu-a.pdf,MNIT Jaipur,Girls hostel mess - Menu A,Rajasthan,north,NIT,https://mnit.ac.in/cms/uploads/2022/12/MenuA.pdf,2026-09-21,pdf (text),not stated (uploaded 2022-12),no,2 pages; weekly with timings; boiled egg/omelette in breakfast.
mnit-jaipur__girls-hostel-menu-b.pdf,MNIT Jaipur,Girls hostel mess - Menu B,Rajasthan,north,NIT,https://mnit.ac.in/cms/uploads/2022/12/MenuB.pdf,2026-09-21,pdf (text),not stated (uploaded 2022-12),no,Alternate rotation to Menu A. Menu C also exists at .../MenuC.pdf (not downloaded).
iiit-delhi__both-messes.pdf,IIIT Delhi,Both messes (common menu),Delhi,north,IIIT,https://www.iiitd.ac.in/sites/default/files/docs/mess/messmenu-wef-oct19.pdf,2026-09-21,pdf (text),w.e.f. 14 October 2019,no,Weekly B/L/snacks/D; egg bhurji etc. IIIT-Delhi is a state university.
