<!-- IIT Dharwad | Central mess (common) | read by the model -->
<!-- page 1 -->
| Meal | Sunday | Monday | Tuesday | Wednesday | Thursday | Friday | Saturday |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Breakfast | ALOO PARATHA CURD + PICKLE MIX SPROUTS BOILED EGG BBJ (2 SLICES) & Banana | IDLI & VADA SAMBER & CHUTNEY MIX SPROUTS BOILED EGG Banana | TAARII POHA SWEET CORN BOILED EGG BBJ (2 SLICES) & Cut Fruits | BISI BELE BHAATH KARABODHI (ODD) VERMICELLI UPMAV(EN) TADAKAA KABULI CHAANA BBJ/GREENS & BANANA | ONION UTTAPPAM CHUTNEY & SAMBER MIX SPROUTS BOILED EGG CUT FRUITS | METH POORI CHOLE MASALA MIX SPROUTS EGG BHURJI BBJ (2 SLICES) & BANANA | MASALA DOSA SAMBER & CHUTNEY MIX SPROUTS CUT FRUITS |
| Lunch | CORN FLAKES TEA, COFFEE, MILK & BOURNVITA | CHOCOA TEA, COFFEE, MILK & BOURNVITA | CORN FLAKES TEA, COFFEE, MILK & BOURNVITA | CHOCOA TEA, COFFEE, MILK, BOURNVITA | CORN FLAKES TEA, COFFEE, MILK & BOURNVITA | CHOCOA TEA, COFFEE, MILK & BOURNVITA | CORN FLAKES TEA, COFFEE, MILK & BOURNVITA |
| Snacks | METHII RICE PLAIN RICE TOOR DAL + SAMBER | LEMON RICE PLAIN RICE DAAL TADAL + RASAM | TAMARIND RICE PLAIN RICE GOBII MUTTER PLAIN RICE | EGG BIRYANI /VEG BIRYANI PLAIN RICE | GREEN PEAS PULAO PLAIN RICE | MASALA RICE PLAIN RICE | CURD RICE PLAIN RICE |
| Snacks | PULSES GRAVY (Lobi) + Ragina) CHAPATI / PHULKA GREEN CHILLI / LEMON SLICES | CHOLE MASALA ALOO JEERAA POOR GREEN CHILLI / LEMON SLICES | DAB MUTTER MASALA BOILLED CHAANA DAL DRY CHAPATI / PHULKA GREEN CHILLI / LEMON SLICES | VEG KORMAA(Aloo,Green Peas,Carrot) CHAPATI / PHULKA LEMON SLICES | DAHIKADHI PAKODA DRY VEG CARABAGE CHAPATI + PHULKA Tomato Chatni/LEMON SLICES | VEG MANCHURIAN METHI MALAI MATAR DAAL/JULKA GREEN CHILLI / LEMON SLICES | RAJMA MASALA / EGG CURRY CHAPATI / PHULKA THECHA |
| Fryums | VEG CHUTNEY / PICKLE RASNA | SALAD / PICKLE LASSI | SALAD / PICKLE MIX FRUIT JUICE Curd | SALAD/ PICKLE RAATA BUTTER MILK | SALAD/ PICKLE RAATA GULAB JAMUN | SALAD/ PICKLE CURD BUTTER MILK | SALAD/ PICKLE LEMON JUICE |
| Snacks | SAMOSA CHUTNEY(MILU) | VADA PAO | PANI PURI ALO BHARTA | HAKKA NOODLES + OOD DATES: PASTA + EVEN DATES SAUCE | BREAD PAKODA(2 PCS) CHUTNEY/SAUCE | MYSORE BHUJYA NARILYAAL CHUTNEY | MASALA IDLI CHUTNEY |
| Cut Fruits | BBJ (4 SLICES) COFFEE, TEA, MILK | BBJ (4 SLICES) COFFEE, TEA, MILK | BANANAA COFFEE, TEA, MILK | BBJ (4 SLICES) COFFEE, TEA, MILK | BBJ (4 SLICES) COFFEE, TEA, MILK | BBJ (4 SLICES) COFFEE, TEA, MILK | BBJ (4 SLICES) COFFEE, TEA, MILK |
| Dinner | PANEER + CHICKEN BIRYANI PLAIN RICE | JEEERA RICE PLAIN RICE | ONION MASALA RICE PLAIN RICE | VEG PULAO PLAIN RICE | PALAK RICE PLAIN RICE | LEMON RICE PLAIN RICE | VEG FRIED RICE |
| Fryums | DAL FRY CHAPATI/PHULCA MOONG MASALA GREEN CHILLI / LEMON SLICES | DAL PANCHARATA DOOBHI/DHAL SAMI GRAVY/AWA VEG DRY CHAPATI / PHULKA GREEN CHILLI / LEMON SLICES | METHI DAL CHAPATI / PHULKA GREEN CHILLI / LEMON SLICES | DAL FRY KADHI CHICKEN + KADHAI PANEER | MIXDAL | SAHI PANNER + CHICKEN KOHLAPURI | HOT AND SOUP PANER CHILI (4 PCS) DRY SOYA MASALA CHAPATI/ PHULKA |
| Fryums | PICKLE RAATA BESAN LADOT | SALAD/ PICKLE CURD | SALAD/ PICKLE CURD SEWAI KHEER | PICKLE Boondi RAATA | Kosumbari CURD Icecream | SAL AD/ PICKLE FRUT CUSTARD | TANDOORI SALAD COCONUT BURFI |
