<!-- Nalanda University | University hostel mess | page 4: this menu was longer than one read allows, so the transcription stops partway; check the last days and add anything missing -->
<!-- page 1 -->
| Meal | Monday | Tuesday | Wednesday | Thursday | Friday | Saturday | Sunday |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Breakfast | POHA | ALOO PARATHA | IDLI | DHOKALA WITH CHUTNEY | SEASONAL VEG PARATHA | UTTHAPM | PURI |
|  | TOMATO/ CORRAINDER CHUTNEY | CURD & SAUCE/ KACCHA MANGO CHUTNEY | CHUTNEY, SAMBHAR | CORN FLAKES | CURD & SAUCE | CHUTNEY, SAMBHAR | BHAJI |
|  | SPROUTED GRAINS | SPROUTED MOONG | SPROUTED GRAINS | SPROUTED GRAINS | BOILED CORN | SPROUTED MOONG | SPROUTED GRAINS |
|  | TOAST BUTTER JAM | TOAST BUTTER JAM | TOAST BUTTER JAM | TOAST BUTTER JAM | TOAST BUTTER JAM | TOAST BUTTER JAM | TOAST BUTTER JAM |
|  | EGG OMLETTE | BOILED EGG | FRIED EGG | BOILED EGGS/OMLET | EGG OMLETE | FRIED EGG | EGG BHURJ |
|  | MILK | SEASONAL FRUIT/ FRUIT SHAKE | MILK | MILK | SEASONAL FRUIT/ FRUIT JUICE | SEASONAL FRUIT/ FRUIT JUICE | MILK WITH CORN FLAKES |
|  | TEA/COFFEE | TEA/COFFEE | TEA/COFFEE | TEA/COFFEE | TEA/COFFEE | TEA/COFFEE | TEA/COFFEE |
| Lunch | STEAM RICE,CHAPATI | STEAM RICE,CHAPATI | STEAM RICE,CHAPATI | STEAM RICE,CHAPATI | STEAM RICE,CHAPATI | STEAM RICE,CHAPATI | STEAM RICE,CHAPATI |
|  | HARA MOONG DAL | KADI PAKODA | MASOOR DAL FRY | SHEJWAN GOBI MATAAR | MIX DAL FRY | CHANA DAL | MIX DAL |
|  | LAUKI KOFTA CURRY | KASHMIRI DUM ALOO | ALOO GOBHI MATAR (GRAVY (As per Season) | KARELA DRY | DUM ALOO CURRY | SEASONAL VEG GRAVY | NUTRI NUGGET CURRY |
