<!-- NIT Tiruchirappalli | All NITT messes - South Indian and North Indian tentative menus | read by the model -->
<!-- page 1 -->
|  | MONDAY | TUESDAY | WEDNESDAY | THURSDAY | FRIDAY | SATURDAY | SUNDAY |
| --------- | --------- | --------- | --------- | --------- | --------- | --------- | --------- |
| BREAKFAST | Pongal, medu vada (2 nos) | Onion/podi/kcal dosa | Idly, vada cury | Oothappam | Semiya / raw kitchidi | Poori, potato masala | Masal dosa |
|  | Sambar, chutney | Sambar, onion chutney | Tomato chutney | Sambar, mint chutney | Sambar, coconut chutney | Toasted bread (4 nos) | Sambar, coconut chutney |
|  | BBJ/TEA/COFFEE | BBJ/TEA/COFFEE | BBJ/TEA/COFFEE | BBJ/TEA/COFFEE | BBJ/TEA/COFFEE | BBJ/TEA/COFFEE | BBJ/TEA/COFFEE |
| LUNCH | Sambar | Vathakuzhambu | Sambar | Parupu podi, ghee, morkuzhambu | Sambar | Karakuzhambu | Mixed veg gravy |
|  | Potato / cabbage dry | Carrot, beans / raw banana poriyal | Ladis finger/ yam fry | Gobi / beetroot curry | Pumpkin, mochachi / keerai koottu | Mixed veg aviyaal (kerala type) | Gobi/ alo 65 |
|  | Veg kuruma | Green peas curry | Chenna masala | Kuruma | Black sundal curry | Dal | Raitha |
|  | Steam rice | Steam rice | Steam rice | Steam rice | Steam rice | Steam rice | Veg. Briyani, raitha |
|  | Chappathi | Fulkha | Chappathi | Fulkha | Chappathi | Chappathi | Fulkha |
|  | Rasam, appalam | Rasam, appalam | Rasam, appalam | Rasam, appalam | Rasam, appalam | Rasam, appalam | Curd rice |
|  | Lemon juice | Lemon juice | Lemon juice | Lemon juice | Lemon juice | Lemon juice | Lemon juice |
|  | Curd | Curd | Curd | Curd | Curd | Curd | Chips |
| SNACKS | Bujji 2 nos+ chutney | Sprouts (1 cup) | Big samosa (1 no), sauce | Curd/rasa/medu vada (2) cutney | Onion/ medu pakoda | Cutlet / bonda, 2 nos, sauce | Kerrai / parupu vadai (2 no) |
|  | Milk/tea/coffee | Milk/tea/coffee | Milk/tea/coffee | Milk/tea/coffee | Milk/tea/coffee | Milk/tea/coffee | Milk/tea/coffee |
| DINNER | Idly | Fulkha | Chappathi | Chappathi | Dosa | Chappathi | Fulkha |
|  | Sambar, chutney | Veg kuruma | Meal maker masala | Chenna masala | Sambar, chutney | Tomato thokku | Panner butter masala |
|  | Rice | Veg pulav / fried rice | Tomato / mint rice | Rice | Besibela bath | Jeera rice | Lemon / tamarind rice |
|  | Mixed veg curry | Gobi / alo manju/yam | Potato peas / potato capcicum poriyal | Veg poriyal | Fryams | Raitha | Thoviyal |
|  | Rasam | Butter milk | Curd rice, pickle | Rasam, appalam | Curd rice, pickle | Curd rice | Curd rice, pickle |
|  | Butter milk | Seasonal fruit | Butter milk | Butter milk | Flavored milk | Banana | Banana |
|  | Ice cream |  | Banana | Gulab jamoon |  |  |  |

<!-- page 2 -->
|  | MONDAY | TUESDAY | WEDNESDAY | THURSDAY | FRIDAY | SATURDAY | SUNDAY |
| --------- | --------- | --------- | --------- | --------- | --------- | --------- | --------- |
| BREAKFAST | IDLY, MEDU VADA 2 | POHA, TOASTED BREAD 4NOS | ALOO PARATHA | DOSA, MASALA | POORI/ PATORIA | OOTHAPPAM | GOBII/ALLO PARATHA |
|  | CHUTNY, SAMBAR | NAMKEEN, CURD | DHANIYA CHUTNY | CHUTNY, SAMBAR | ALOO SAGU / CHENNA MASALA, DHANYA CHUTNY | CHUTNY, SAMBAR | DHANIYA CHUTNY |
|  | BB/JT/C/M | BB/JT/C/M | BB/JT/C/M | BB/JT/C/M | BB/JT/C/M | BB/JT/C/M | BB/JT/C/M |
