<!-- Pondicherry University | Madame Curie Mess - PhD scholars | read by the model -->
<!-- page 1 -->
| DAYS | MONDAY | TUESDAY | WEDNESDAY | THURSDAY | FRIDAY | SATURDAY | SUNDAY |
| --- | --- | --- | --- | --- | --- | --- | --- |
| BREAK FAST (7.30- 9.30AM) | Masal Dosa/ Set Dosa (alternate weeks) | Poori / Bhature (alternate weeks) | Aloo Paratha / Gobi paratha/ onion paratha/paneer paratha (alternate weeks) | Idlyappam | Upma/Ponnga/Khichdi (alternate weeks) | Bread Toast | Idli, Vada |
| LUNCH (12.30- 2.30PM) | Dry Binndi Fry | Carrot, Beans, cauliflower dry fry (alternate weeks) | Keera Kuttu / Bottle Guard Kuttu / Banana fry /Garden peas curry/Beans fry (alternate weeks) | Beetroot Poriyal/Snake guard poriyal (alternate weeks) | Yam dry curry /Mixveg poryal (alternate weeks) | Cauliflower & Potato dry curry | Common: Potato Fry |
|  | Chappathi | Chappathi | Chappathi | Chappathi | Chappathi | Chappathi | Chappathi |
|  | White Rice | White Rice | White Rice | White Rice | White Rice | White Rice | White Rice |
|  | Rasam | Rasam | Rasam | Rasam | Rasam | Rasam | Rasam |
|  | Curd | Buttermilk | Curd | Buttermilk | Buttermilk | Curd | Raita |
|  | Veg Pulao. Chilli gobhi / Gobi Manchurian / Cabbage Manchurian ( Semi gravy) | Veg: Veg kofta gravy with gravy/paneer gravy style) | Veg: Mushroom Masala N. Veg: Chiken Chettinad (each one 2 inches size) | Matar Paneer (4 pieces per head)- each one 2 inches size | Veg: Kadai Veg curry with paneer N. Veg: Egg Curry | Seasonal mix vegetable curry/ Soyabean chunks curry | Pudine Rice/Lemon rice (alternate weeks) |
| DINNER (7.30- 9.30PM) | Rajma Daal (alternate weeks) | Moong daal | Daal | Mix Dhal | Daal | Mix Daal/Sambar (alternate weeks) | Aloo- Mutter Semi Gray |
|  | Pulka | Pulka | Pulka | Methi Paratha | Pulka | Pulka | Pulka |
|  | White Rice | White Rice | White Rice | White Rice | White Rice | White Rice | White Rice |
|  | Rasam | Rasam | Rasam, Buttermilk | Rasam | Rasam | Gulab Jamun | Rasam |
