<!-- Sant Longowal Institute of Engineering and Technology (SLIET) | Hostel mess (common) | read by the model -->
<!-- page 1 -->
| Description | Monday | Tuesday | Wednesday | Thursday | Friday | Saturday | Sunday |
| --- | --- | --- | --- | --- | --- | --- | --- |
| BREAKFAST | Stuffed Paranthas* with 100-gram curd/17-gram Butter/ 20-gram Jam/ Boiled egg (01 no) OR 04 numbers of Bread Slices (sandwich bread cake size) with 17-gram Butter or Boiled egg (01 no) or (8.5-gram Butter and 10 gram Jam) along with 8.00 am - 9.15 am on Saturday, Sunday and Institute Holidays | Plain Parathas with Alu sabzi OR 04 numbers of Bread Slices (sandwich bread cake size) with 17-gram Butter or 20-gram Jam or Boiled egg (01 no) (8.5-gram egg and 10 gram Butter and 10 gram Jam) | Purees with Aalu Sabzi and 100-gram curd, pickle/chutney. | Dalia and Poha OR 04 numbers of Bread Slices (sandwich bread cake size) with 17-gram Butter or 20-gram Jam or Boiled egg (01 no) or (8.5-gram Butter and 10 gram Jam) | Stuffed Paranthas* with 100-gram curd/17-gram Butter/ 20-gram Jam/ Boiled egg (01 no) OR 04 numbers of Bread Slices (sandwich bread cake size) with 17-gram Butter or 20-gram Jam or Boiled egg (01 no) or (8.5-gram Butter and 10 gram Jam) | Plain Paratha with Alu sabzi | Poha with Tomato Chutney/Idli Sambhar/Bada Sambhar/Dal/Sprouted Oats (sandwich bread cake size) with 17-gram Butter or 04 numbers of Bread Slices (sandwich bread cake size) with 17-gram Butter or Boiled egg (01 no) or (8.5-gram Butter and 10 gram Jam) |
| LUNCH | With 200 ml Boiled milk/Tea with sugar dissolved and Sprouts: Black Chana + Sabut Moong (100 gm) | With 200 ml Boiled milk/Tea with sugar dissolved and Sprouts: Black Chana + Sabut Moong (100 gm) | With 200 ml Boiled milk/Tea with sugar dissolved and Sprouts: Black Chana + Sabut Moong (100 gm) | With 200 ml Boiled milk/Tea with sugar dissolved and Sprouts: Black Chana + Sabut Moong (100 gm) | With 200 ml Boiled milk/Tea with sugar dissolved and Sprouts: Black Chana + Sabut Moong (100 gm) | With 200 ml Boiled milk/Tea with sugar dissolved and Sprouts: Black Chana + Sabut Moong (100 gm) | (SPECIAL LUNCH) Puree/Bhature, Rice Pulao, White Channa, Masala Aalu |
| 1.00 pm to 2:30PM on Saturday, Sunday and Institute Holidays | Curd 100 gram with chat masala | Onion tomato Raita (with quantity of Curd 100 gram)+papad | Boondi Raita (with quantity of Curd 100 gram) | Boondi Raita (with quantity of Curd 100 gram) | Onion tomato Raita (with quantity of Curd 100 gram)+papad | Curd 100 gram with chat masala | Boondi Raita/Dry Masala Aalu |
| EVENING TEA (5.00 pm - 6.00pm) | Only Tea | Samosa and Tea | Only Tea | Bread Pakoda and Tea | Only Tea | Vegetable Cutlets and Tea | Only Tea |
| DINNER 7.15 pm - 9.00 pm on all days | Chapati, Rice, Daal fried (Moong Sabut / Moong Dhuli), seasonable green vegetable | Chapati, Rice, Daalfried (Urad Sabut), seasonable green vegetable | (SPECIAL DINNER) Puree, White Chana, Shahi Paneer (Paneer 50gms.)/Chilli Paneer (Paneer 50gms.) on alternate week, Fried Rice | Chapati, Rice, Daal fried (Masur Dhuli/ Masur Sabut), seasonable green vegetable Sweet Dish: Gulab Jamun / Rasogulla | Chapati, Rice, Daal fried (Arhar), seasonable green vegetable | Chapati, Rice, Daal fried Rajmah, seasonable green vegetable Sweet Dish: Fruit Custard / Kheer | Chapati, Rice, Daal fried (Moong Chihilke wall), seasonable green vegetable |

<!-- page 2 -->
| Meal | Monday | Tuesday | Wednesday | Thursday | Friday | Saturday | Sunday |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Breakfast | 6:45 AM to 8:15 AM | 6:45 AM to 8:15 AM | 6:45 AM to 8:15 AM | 6:45 AM to 8:15 AM | 6:45 AM to 8:15 AM | 8:00 AM to 9:15 AM | 8:00 AM to 9:15 AM |
| Lunch | 12:30 PM to 2:30 PM | 12:30 PM to 2:30 PM | 12:30 PM to 2:30 PM | 12:30 PM to 2:30 PM | 12:30 PM to 2:30 PM | 1:00 PM to 2:30 PM | 1:00 PM to 2:30 PM |
| Evening Tea | 5.00 PM to 6.00 PM | 5.00 PM to 6.00 PM | 5.00 PM to 6.00 PM | 5.00 PM to 6.00 PM | 5.00 PM to 6.00 PM | 5.00 PM to 6.00 PM | 5.00 PM to 6.00 PM |
| Dinner | 7:15 PM to 9:00 PM | 7:15 PM to 9:00 PM | 7:15 PM to 9:00 PM | 7:15 PM to 9:00 PM | 7:15 PM to 9:00 PM | 7:15 PM to 9:00 PM | 7:15 PM to 9:00 PM |
