written,how,became,reason,menus
a milk,by rule,milk_glass,a milk drink: a glass of milk,iit-kanpur__hall-11
aalu tikki mirch,by rule,cutlet,a cutlet,iiser-bhopal__dining-hall-3
aam panna,by rule,(not counted),"a sweetened water drink: sugar, and no nutrient the study measures in any amount",gniot-greater-noida__hostel iit-kanpur__hall-11
adai dosai,by rule,dosa,a pancake of fermented batter or gram flour: dosa stands in,sns-college-of-engineering__hostel-mess
ahrhar dal,by rule,toor_dal_tadka,toor dal,iiser-bhopal__dining-hall-3
alog cauliflower,by rule,gobhi_dry,a cabbage or cauliflower sabzi,iit-kanpur__hall-8
alog dum,by hand,dum_aloo,,iit-kanpur__hall-8
alog green matar bijiya,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-kanpur__hall-8
alog pyao gorbi,by hand,gobhi_dry,,iit-kanpur__hall-8
alog soyabiran,by hand,soya_badi,,iit-kanpur__hall-8
alog sweet,by rule,gulab_jamun,an Indian sweet: gulab jamun stands in,iit-kanpur__hall-8
alog tamar,by hand,aloo_tomato,,iit-kanpur__hall-8
aloo,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-tirupati__central-mess-apr2024
aloo 65,by rule,pakoda,a fritter,iit-bombay__hostel-3 iit-tirupati__central-mess-apr2024
aloo beans,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-madras__ccw-veg-menu
aloo bhindi aloo 20,by rule,kurmuri_bhindi,a bhindi sabzi,iit-kanpur__hall-2
aloo bhujiyai rice veg pulao basmati rice daal tadka,by hand,aloo_bhujiya; peas_pulao; dal_tadka,,iiser-bhopal__dining-hall-3
aloo chook,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-kanpur__hall-11
aloo chutney,by rule,green_chutney,a chutney,iit-kanpur__hall-2
aloo gobhi,by rule,gobhi_dry,a cabbage or cauliflower sabzi,iit-kanpur__hall-2
aloo kala chana,by rule,black_chana_aloo,black chana,iit-delhi__jwalamukhi-hostel
aloo masala chole bhature,by hand,aloo_jeera; chole; poori,,gniot-greater-noida__hostel
aloo masala curry,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-tirupati__central-mess-apr2024
aloo matar,by rule,aloo_tomato,a potato gravy,gniot-greater-noida__hostel iit-delhi__jwalamukhi-hostel vnit-nagpur__aaswad-mess
aloo matar gravy,by rule,aloo_tomato,a potato gravy,iit-kanpur__hall-11
aloo matar sabji,by rule,aloo_tomato,a potato gravy,iit-kanpur__hall-11
aloo matar sandwich,by rule,bread_slice,"bread, however it is served",vnit-nagpur__aaswad-mess
aloo mutter tamar gravy,by rule,aloo_tomato,a potato gravy,iit-kanpur__hall-2
aloo palak,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-kanpur__hall-2
aloo parval sabji,by rule,mix_veg,a vegetable dish: mix veg stands in,gniot-greater-noida__hostel
aloo parwal gravy,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-kanpur__hall-11
aloo sabji,by rule,mix_veg,a vegetable dish: mix veg stands in,gniot-greater-noida__hostel
aloo shimla,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-kanpur__hall-2
aloo shimla mirch,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-delhi__jwalamukhi-hostel
aloo simla,by rule,mix_veg,a vegetable dish: mix veg stands in,gniot-greater-noida__hostel
aloo tikki papri with matar,by hand,cutlet; corn_chat,,gniot-greater-noida__hostel
aloo tomato with plain paratha,by hand,aloo_tomato; aloo_paratha,,gniot-greater-noida__hostel
aloo white matar,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-kanpur__hall-11
